,IDS,SEXES,VIDEOS,PHOTOS,GIFTS,AUDIOS,FRIENDS,FOLLOWERS
0,10003,2,56,40,73,274,239,469
1,10026,1,20,708,16,0,259,235
2,10030,2,5,2,9,0,129,205
3,10057,2,173,1067,19,407,1241,532
4,10062,1,2,45,1,102,286,102
5,10090,1,304,566,8,793,367,1883
6,10093,1,142,80,6,0,632,1767
7,10123,1,0,47,4,25,71,245
8,10124,1,0,218,0,35,108,88
9,10151,1,170,2281,16,661,757,1180
10,10184,2,197,53,216,401,138,414
11,10212,1,161,1785,48,638,2057,1480
12,10243,1,316,4537,32,824,224,304
13,10250,2,24,1025,67,0,286,335
14,10276,2,2,2,4,3,464,82
15,10305,1,16,54,14,233,203,186
16,10306,2,19,87,3,205,117,7
17,10308,2,4,767,3,42,195,172
18,10313,2,0,0,0,0,105,3
19,10336,1,15,60,6,74,276,242
20,10342,1,214,1073,48,0,347,2532
21,10373,2,0,0,0,0,11,16
22,10394,2,85,550,13,133,335,220
23,10396,2,1,300,2,8,300,56
24,10400,1,85,143,1,325,69,521
25,10416,1,59,6328,30,0,452,2002
26,10419,1,24,1,29,0,119,464
27,10421,1,459,121,9,1816,374,926
28,10424,2,12,91,2,14,67,38
29,10452,1,17,227,8,0,114,7397
30,10003,2,56,40,73,274,239,469
31,10030,2,5,2,9,0,129,205
32,10036,2,13,117,13,65,354,283
33,10062,1,2,45,1,102,286,102
34,10093,1,142,80,6,0,632,1767
35,10100,1,23,44,39,0,329,1635
36,10123,1,0,47,4,25,71,245
37,10124,1,0,218,0,35,108,88
38,10184,2,197,53,216,401,138,414
39,10243,1,316,4537,32,824,224,304
40,10250,2,24,1025,67,0,286,335
41,10268,2,0,8,0,3,143,43
42,10276,2,2,2,4,3,464,82
43,10331,1,35,362,124,130,306,1521
44,10336,1,15,60,6,74,276,242
45,10349,2,17,813,3,0,142,48
46,10350,1,0,1,0,1,0,106
47,10351,2,0,1,2,0,0,3692
48,10354,2,0,1,0,0,0,162
49,10355,2,108,47,22,0,166,707
50,10379,1,41,95,8,58,78,230
51,10383,2,316,914,12,101,346,157
52,10410,2,16,65,6,37,645,208
53,10411,1,0,0,0,0,0,1
54,10413,1,42,296,63,0,252,2274
55,10416,1,59,6328,30,0,452,2002
56,10472,2,0,3,3,45,161,91
57,10474,1,377,1206,20,0,554,1234
58,10476,2,8,1,12,0,77,276
59,10504,2,69,213,19,399,400,183
60,10531,2,44,3090,38,70,219,180
61,10532,2,2114,1433,45,3300,444,7009
62,10535,1,6,162,4,287,172,91
63,10536,1,38,78,44,67,552,987
64,10554,1,186,82,31,433,395,368
65,10556,1,29,243,18,0,231,354
66,10558,1,67,1719,7,579,622,498
67,10587,1,1,1,0,0,354,190
68,10618,2,83,27,7,390,404,371
69,10681,2,15,40,2,117,143,139
70,10708,1,32,311,15,264,165,314
71,10731,1,3,4,1,39,90,501
72,10733,2,55,212,5,0,693,644
73,10759,2,16,44,4,12,367,446
74,10766,1,373,3454,116,0,3508,15819
75,10795,2,0,0,0,0,0,6
76,10822,2,11,98,11,0,485,1010
77,10823,1,0,0,0,0,37,18
78,10848,2,55,103,1,415,115,196
79,10870,2,30,946,8,11,310,66
80,10873,1,49,104,4,14,502,1310
81,10874,2,32,965,10,424,109,309
82,10877,2,44,178,3,904,346,139
83,10896,1,1,548,0,0,70,540
84,10897,2,0,5,2,0,18,50
85,10898,1,367,1586,17,1157,469,355
86,10901,2,7,13,8,17,213,244
87,10904,2,38,180,6,63,396,380
88,10923,1,20,13,22,34,327,644
89,10925,1,94,78,5,0,683,542
90,10946,1,0,281,6,0,200,213
91,10952,1,2,52,7,302,254,385
92,10978,1,7,85,5,21,229,189
93,11033,1,32,584,4,364,480,254
94,11037,1,35,208,11,0,144,170
95,11039,1,23,187,5,367,118,557
96,11069,2,0,0,1,0,0,7
97,11092,2,38,625,18,520,617,241
98,11094,2,68,303,13,112,105,66
99,11096,1,0,0,0,0,0,2
